Entity,Code,Year,production|Chromium|Mine|tonnes
Afghanistan,AFG,1999,4318
Afghanistan,AFG,2000,5345
Afghanistan,AFG,2001,5682
Afghanistan,AFG,2002,6136
Afghanistan,AFG,2003,6364
Afghanistan,AFG,2004,6591
Afghanistan,AFG,2005,6818
Afghanistan,AFG,2006,7273
Afghanistan,AFG,2007,6491
Afghanistan,AFG,2008,6491
Afghanistan,AFG,2009,6000
Afghanistan,AFG,2010,4500
Afghanistan,AFG,2011,4500
Afghanistan,AFG,2012,4678
Afghanistan,AFG,2013,5040
Afghanistan,AFG,2014,6369
Afghanistan,AFG,2015,5682
Afghanistan,AFG,2016,4545
Afghanistan,AFG,2017,4500
Afghanistan,AFG,2018,4500
Afghanistan,AFG,2019,4500
Afghanistan,AFG,2020,4500
Afghanistan,AFG,2021,4000
Afghanistan,AFG,2022,4000
Albania,ALB,1970,466000
Albania,ALB,1971,502300
Albania,ALB,1972,610000
Albania,ALB,1973,611000
Albania,ALB,1974,715000
Albania,ALB,1975,779000
Albania,ALB,1976,830000
Albania,ALB,1977,880000
Albania,ALB,1978,1000000
Albania,ALB,1979,750000
Albania,ALB,1980,760000
Albania,ALB,1981,710000
Albania,ALB,1982,675000
Albania,ALB,1983,685000
Albania,ALB,1984,720000
Albania,ALB,1985,1111000
Albania,ALB,1986,1159000
Albania,ALB,1987,1072000
Albania,ALB,1988,1109000
Albania,ALB,1989,1101000
Albania,ALB,1990,1011000
Albania,ALB,1991,586700
Albania,ALB,1992,322000
Albania,ALB,1993,281130
Albania,ALB,1994,222879
Albania,ALB,1995,242998
Albania,ALB,1996,236358
Albania,ALB,1997,157203
Albania,ALB,1998,124000
Albania,ALB,1999,109200
Albania,ALB,2000,120400
Albania,ALB,2001,85890
Albania,ALB,2002,72600
Albania,ALB,2003,98000
Albania,ALB,2004,160300
Albania,ALB,2005,170000
Albania,ALB,2006,187070
Albania,ALB,2007,194760
Albania,ALB,2008,220536
Albania,ALB,2009,288759
Albania,ALB,2010,334467
Albania,ALB,2011,330938
Albania,ALB,2012,365749
Albania,ALB,2013,529592
Albania,ALB,2014,683874
Albania,ALB,2015,639909
Albania,ALB,2016,726671
Albania,ALB,2017,808016
Albania,ALB,2018,1142719
Albania,ALB,2019,1288315
Albania,ALB,2020,626627
Albania,ALB,2021,650200
Albania,ALB,2022,932686
Australia,AUS,1993,0
Australia,AUS,1994,0
Australia,AUS,1995,0
Australia,AUS,1996,5500
Australia,AUS,1997,18756
Australia,AUS,1998,72496
Australia,AUS,1999,71886
Australia,AUS,2000,74260
Australia,AUS,2001,15750
Australia,AUS,2002,57142
