Source,Country,Type,Prod_t_est_2022,Prod_t_est_2023,Prod_notes,Reserves_t,Reserves_notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,United States,"Mine production, tungsten content",0,0,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Australia,"Mine production, tungsten content",200,800,,570000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 210,000 tons.  Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Austria,"Mine production, tungsten content",910,910,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Bolivia,"Mine production, tungsten content",1360,1500,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,China,"Mine production, tungsten content",66000,63000,,2300000," Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,"Korea, North","Mine production, tungsten content",1520,1700,,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Portugal,"Mine production, tungsten content",500,500,,4000," Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Russia,"Mine production, tungsten content",2000,2000,,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Rwanda,"Mine production, tungsten content",1400,1400,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Spain,"Mine production, tungsten content",800,1500,,66000," Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Vietnam,"Mine production, tungsten content",4000,3500,,74000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,Other countries,"Mine production, tungsten content",1080,1100,,950000," Reserves for Australia, China, Portugal, Spain, Vietnam, and “Other countries” were revised based on academic, company, and Government reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCS2024,World total (rounded),"Mine production, tungsten content",79800,78000,,4400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
